text,created_at,retweet_count,is_retweet
RT @SenateGOP: The #PaycheckProtectionProgram is literally saving millions of jobs.It's helping small businesses stay open.FUNDS WILL R…,04-18-2020 16:05:27,7187,TRUE
RT @SenatorTimScott: I want to thank President @realDonaldTrump for the opportunity to serve our nation on this task force and I will be w…,04-18-2020 16:04:36,3131,TRUE
RT @SenatorTimScott: As our nation faces an unprecedented crisis in responding to the #COVID19 #coronavirus pandemic it is critical that w…,04-18-2020 16:04:27,3025,TRUE
RT @SenatorTimScott: Through yesterday the PPP approved 22933 loans for more than $3.8b in South Carolina. $3.8b to ensure workers get th…,04-18-2020 16:03:29,5409,TRUE
Spending the morning speaking to @fema and Military relative to CoronaVirus. Also spoke to leaders of various countries including Poland South Korea and Bahrain. Last night had a very gold conversation with the President of Mexico on numerous topics. Border is very strong!,04-18-2020 15:51:25,16569,FALSE
An incompetent political hack! Come back to Washington &amp; take care of our great American workers. https://t.co/FZ9mH92j0S,04-18-2020 03:50:31,39478,FALSE
This is a disgraceful situation! https://t.co/s2qZSrGw6U,04-18-2020 03:47:48,31200,FALSE
RT @charliekirk11: This is your daily reminder that Joe Biden flew his son to China on Air Force 2 to help him secure a $1.5 BILLION deal w…,04-18-2020 03:45:29,33263,TRUE
RT @charliekirk11: One week ago today Democrats blocked a GOP-led increase in funding for small businessesToday that funding ran out.…,04-18-2020 03:44:26,17392,TRUE
RT @charliekirk11: Democrats care more about appeasing China than the American people.,04-18-2020 03:44:07,13369,TRUE
RT @charliekirk11: Did you know:Ilhan Omar's campaign is on track to pay her husband's consulting firm $1.16 MILLION in 2020Last year…,04-18-2020 03:43:53,32695,TRUE
RT @charliekirk11: In January The WHO tweeted that China found no evidence of human-to-human transmission of COVID-19This was a Chinese…,04-18-2020 03:42:51,13476,TRUE
Lamestream Media is only getting worse! https://t.co/cuTRo87tz3,04-18-2020 03:42:23,14206,FALSE
Cut him off now! https://t.co/kdGybEFeOI,04-18-2020 03:40:31,42855,FALSE
RT @charliekirk11: Facts:California’s Motor Voter law resulted in AT LEAST 1500 people including non-citizens being registered to vote…,04-18-2020 03:38:24,21027,TRUE
Great book. Get it and support Charlie! https://t.co/fG7YXOCk9R,04-18-2020 03:38:07,10985,FALSE
RT @TeamTrump: President @realDonaldTrump: Economic relief payments have been sent out to over 80 million Americans!If you haven’t got yo…,04-18-2020 03:35:22,5696,TRUE
They are Fake News Losers! https://t.co/3RHcBZogms,04-18-2020 03:35:10,17457,FALSE
RT @GOPChairwoman: Democrats are blocking more funding for #PaycheckProtectionProgram that @realDonaldTrump signed into law.1.7M #smallbi…,04-18-2020 03:31:42,9140,TRUE
RT @TeamTrump: The partisan media has spread false information about America's testing capacity!President @realDonaldTrump isn't afraid t…,04-18-2020 03:31:30,6608,TRUE
RT @TeamTrump: President @realDonaldTrump: “The ultimate victory in this war will be made possible by America’s scientific brilliance.” htt…,04-18-2020 03:31:17,6091,TRUE
RT @GOPChairwoman: Great news from @realDonaldTrump:So far the Treasury Department has sent 80 million Americans economic relief payment…,04-18-2020 03:31:08,4871,TRUE
RT @ChanelRion: AG Sec Sonny Purdue:- Ag Relief Program is in 2 parts1) $16 bill in direct payments2) USDA will purchase $3 Bill in food…,04-18-2020 03:26:35,4559,TRUE
RT @ChanelRion: #HAPPENINGNOW: White House Daily  Briefing 4/17/20- Treasury has sent relief checks to over 80 mill Americans - https://t…,04-18-2020 03:26:25,4752,TRUE
RT @WhiteHouse: Yesterday we unveiled the Guidelines for Opening Up America Again! 🇺🇸 https://t.co/HxnTNieF8w https://t.co/TaBM5RfBC0,04-18-2020 01:02:29,7182,TRUE
RT @SecretarySonny: Thank you @realDonaldTrump for all you do for America's farmers and ranchers.,04-18-2020 01:01:34,10275,TRUE
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/2cfwNTvpNX,04-17-2020 22:22:30,6941,TRUE
White House news conference today at 6:00 P.M. Eastern. Thank you!,04-17-2020 19:33:46,18420,FALSE
Cuomo ridiculously wanted “40 thousand Ventilators”. We gave him a small fraction of that number and it was plenty. State should have had them in stockpile!,04-17-2020 17:00:01,26053,FALSE
The States have to step up their TESTING!,04-17-2020 16:32:43,23700,FALSE
China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S. not even close!,04-17-2020 16:30:05,61678,FALSE
Biden/Obama were a disaster in handling the H1N1 Swine Flu. Polling at the time showed disastrous approval numbers. 17000 people died unnecessarily and through incompetence! Also don’t forget their 5 Billion Dollar Obamacare website that should have cost close to nothing!,04-17-2020 16:25:30,31466,FALSE
Governor Cuomo should spend more time “doing” and less time “complaining”. Get out there and get the job done. Stop talking! We built you thousands of hospital beds that you didn’t need or use gave large numbers of Ventilators that you should have had and helped you with....,04-17-2020 16:11:45,32600,FALSE
....testing that you should be doing. We have given New York far more money help and equipment than any other state by far &amp; these great men &amp; women who did the job never hear you say thanks. Your numbers are not good. Less talk and more action!,04-17-2020 16:11:45,21479,FALSE
LIBERATE VIRGINIA and save your great 2nd Amendment. It is under siege!,04-17-2020 15:25:45,46606,FALSE
LIBERATE MICHIGAN!,04-17-2020 15:22:41,42774,FALSE
LIBERATE MINNESOTA!,04-17-2020 15:21:48,37276,FALSE
Today people started losing their jobs because of Crazy Nancy Pelosi Cryin’ Chuck Schumer and the Radical Left Do Nothing Democrats who should immediately come back to Washington and approve legislation to help families in America. End your ENDLESS VACATION!,04-17-2020 13:50:31,53321,FALSE
Why did the W.H.O. Ignore an email from Taiwanese health officials in late December alerting them to the possibility that CoronaVirus could be transmitted between humans? Why did the W.H.O. make several claims about the CoronaVirus that ere either inaccurate or misleading....,04-17-2020 13:20:29,87840,FALSE
....in January and February as the Virus spread globally? Why did the W.H.O. wait as long as it did to take decisive action? Lanhee Chen Hoover Institution Fellow @FoxNews,04-17-2020 13:20:29,30006,FALSE
